9.82048	11.0686	747.513
3.4886	-2.3163	320.694
-10.3785	8.10353	27.7635
-5.41256	9.08258	7.71445
-11.7887	-6.81038	114.058
-9.57607	-13.1988	167.068
-9.96607	9.92538	11.8814
-14.171	10.8337	211.04
-10.763	5.81226	190.119
-14.4162	12.7683	164.853
3.83373	1.59813	688.181
0.304762	-0.674817	180.247
-9.71922	-13.9251	93.6484
-3.38538	-14.0126	135.522
-13.1322	3.86134	34.2907
-1.90427	-5.18809	597.52
-13.9676	0.445149	2065.74
-8.1638	8.2491	610.354
-8.71578	7.392	501.715
-12.1306	14.2424	241.374
-10.0582	9.9326	173.733
-3.21245	13.6262	150.081
-10.1394	12.263	13.0668
-4.55795	10.0011	310.224
-2.64903	4.24471	121.08
1.02011	10.3958	501.808
-10.8304	10.8208	246.293
10.136	3.84237	231.764
13.7377	-12.865	86.6994
0.0449998	-0.437746	11.8814
13.316	0.357421	352.211
-12.9729	-5.91727	246.957
0.768269	-7.53885	138.394
-5.49358	-7.43383	74.9488
-9.33491	-13.3498	473.825
6.19098	9.68142	146.751
-11.7584	4.18581	1357.25
-14.4242	13.3906	183.569
-13.2955	13.073	22.691
1.71539	-3.69078	63.7495
-5.29743	6.36645	128.676
3.91111	-3.70725	16.0875
-14.1439	8.79435	45.7633
-10.0409	-10.4342	92.8275
-13.7617	-11.0983	1813.7
-13.236	13.0817	89.8228
-12.1022	11.3729	216.61
-13.8508	10.9894	10.109
